agency.added_date,agency.agency_id,agency.agency_status,agency.agency_type.agency_type_name,agency.agency_type.default_pop_family,agency.campus,agency.change_timestamp,agency.change_user,agency.city,agency.city.city_name,agency.department,agency.dormant_year,agency.fid_code,agency.field_office.field_office_alpha_code,agency.field_office.field_office_code,agency.field_office.field_office_name,agency.field_office.field_office_numeric_code,agency.judicial_dist_code,agency.legacy_notify_agency,agency.legacy_ori,agency.ncic_agency_name,agency.ori,agency.population_family.population_family_desc,agency.population_family.population_family_name,agency.population_family.sort_order,agency.pub_agency_name,agency.special_mailing_address,agency.special_mailing_group,agency.state.division.division_code,agency.state.division.division_desc,agency.state.division.division_name,agency.state.division.region.region_code,agency.state.division.region.region_desc,agency.state.division.region.region_name,agency.state.state_abbr,agency.state.state_code,agency.state.state_fips_code,agency.state.state_name,agency.state.state_postal_abbr,agency.state.state_pub_freq_months,agency.submitting_agency.agency_email,agency.submitting_agency.agency_name,agency.submitting_agency.agency_website,agency.submitting_agency.comments,agency.submitting_agency.notify_agency,agency.submitting_agency.sai,agency.submitting_agency.state.division.division_code,agency.submitting_agency.state.division.division_desc,agency.submitting_agency.state.division.division_name,agency.submitting_agency.state.division.region.region_code,agency.submitting_agency.state.division.region.region_desc,agency.submitting_agency.state.division.region.region_name,agency.submitting_agency.state.state_abbr,agency.submitting_agency.state.state_code,agency.submitting_agency.state.state_fips_code,agency.submitting_agency.state.state_name,agency.submitting_agency.state.state_postal_abbr,agency.submitting_agency.state.state_pub_freq_months,agency.tribe,agency.ucr_agency_name,arrestees,cargo_theft_flag,cleared_except_date,cleared_except.cleared_except_code,cleared_except.cleared_except_name,did,ff_line_number,incident_date,incident_hour,incident_status,offenders,offenses,property,report_date_flag,submission_date,victims
1991-04-30T00:00:00+00:00,14619,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Celina,,,,CV,,Cleveland,3170,305N,Y,OH0540100,CELINA,OH0540100,City (1-7),City,2,Celina,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,CELINA,0,,2014-09-03T00:00:00+00:00,B,Prosecution Declined,,,2014-06-18T00:00:00+00:00,14,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14879,A,County,3,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,,,,,CI,,Cincinnati,3160,310S,Y,OH0840000,WASHINGTON,OH0840000,"County (8A-8D,9A-9D)",County,3,Washington,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,WASHINGTON,0,,,N,Not Applicable,,,2014-02-11T00:00:00+00:00,8,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14929,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Cincinnati,,,,CI,,Cincinnati,3160,310S,Y,OHCIP0000,CINCINNATI,OHCIP0000,City (1-7),City,2,Cincinnati,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,CINCINNATI,0,,,N,Not Applicable,,,2014-12-17T00:00:00+00:00,17,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14930,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Cleveland,,,,CV,,Cleveland,3170,305N,Y,OHCLP0000,CLEVELAND,OHCLP0000,City (1-7),City,2,Cleveland,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,CLEVELAND,1,,,N,Not Applicable,,,2014-06-18T00:00:00+00:00,5,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14931,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Columbus,,,,CI,,Cincinnati,3160,310S,Y,OHCOP0000,COLUMBUS,OHCOP0000,City (1-7),City,2,Columbus,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,COLUMBUS,0,,,N,Not Applicable,,,2014-11-05T00:00:00+00:00,8,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14930,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Cleveland,,,,CV,,Cleveland,3170,305N,Y,OHCLP0000,CLEVELAND,OHCLP0000,City (1-7),City,2,Cleveland,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,CLEVELAND,0,,,N,Not Applicable,,,2014-09-21T00:00:00+00:00,3,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14374,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Xenia,,,,CI,,Cincinnati,3160,310S,Y,OH0290300,XENIA,OH0290300,City (1-7),City,2,Xenia,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,XENIA,0,,,N,Not Applicable,,,2014-06-22T00:00:00+00:00,2,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14930,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Cleveland,,,,CV,,Cleveland,3170,305N,Y,OHCLP0000,CLEVELAND,OHCLP0000,City (1-7),City,2,Cleveland,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,CLEVELAND,0,,,N,Not Applicable,,,2014-09-01T00:00:00+00:00,0,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14421,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Cincinnati,,,,CI,,Cincinnati,3160,310S,Y,OH0313300,SPRINGDALE,OH0313300,City (1-7),City,2,Springdale,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,SPRINGDALE,1,,,N,Not Applicable,,,2014-03-01T00:00:00+00:00,15,0,1,1,0,,,2
1991-04-30T00:00:00+00:00,14931,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Columbus,,,,CI,,Cincinnati,3160,310S,Y,OHCOP0000,COLUMBUS,OHCOP0000,City (1-7),City,2,Columbus,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,COLUMBUS,0,,,N,Not Applicable,,,2014-05-23T00:00:00+00:00,18,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14931,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Columbus,,,,CI,,Cincinnati,3160,310S,Y,OHCOP0000,COLUMBUS,OHCOP0000,City (1-7),City,2,Columbus,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,COLUMBUS,0,,,N,Not Applicable,,,2014-04-11T00:00:00+00:00,0,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14931,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Columbus,,,,CI,,Cincinnati,3160,310S,Y,OHCOP0000,COLUMBUS,OHCOP0000,City (1-7),City,2,Columbus,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,COLUMBUS,1,,,N,Not Applicable,,,2014-06-14T00:00:00+00:00,3,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14797,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Akron,,,,CV,,Cleveland,3170,305N,Y,OH0770100,AKRON,OH0770100,City (1-7),City,2,Akron,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,AKRON,1,,,N,Not Applicable,,,2014-11-08T00:00:00+00:00,20,0,1,2,1,,,1
1991-04-30T00:00:00+00:00,14931,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Columbus,,,,CI,,Cincinnati,3160,310S,Y,OHCOP0000,COLUMBUS,OHCOP0000,City (1-7),City,2,Columbus,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,COLUMBUS,0,,,N,Not Applicable,,,2014-06-18T00:00:00+00:00,9,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14312,A,County,3,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,,,,,CI,,Cincinnati,3160,310S,Y,OH0240000,FAYETTE,OH0240000,"County (8A-8D,9A-9D)",County,3,Fayette,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,FAYETTE,0,,,N,Not Applicable,,,2014-09-08T00:00:00+00:00,9,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14930,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Cleveland,,,,CV,,Cleveland,3170,305N,Y,OHCLP0000,CLEVELAND,OHCLP0000,City (1-7),City,2,Cleveland,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,CLEVELAND,1,,,N,Not Applicable,,,2014-07-26T00:00:00+00:00,2,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14931,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Columbus,,,,CI,,Cincinnati,3160,310S,Y,OHCOP0000,COLUMBUS,OHCOP0000,City (1-7),City,2,Columbus,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,COLUMBUS,0,,,N,Not Applicable,,,2014-03-06T00:00:00+00:00,11,0,1,1,0,,,1
1999-09-09T00:00:00+00:00,14655,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Dayton,,,,CI,,Cincinnati,3160,310S,Y,OH0572400,BUTLER TOWNSHIP,OH0572400,City (1-7),City,2,Butler Township,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,BUTLER TOWNSHIP,0,,,N,Not Applicable,,,2014-07-26T00:00:00+00:00,8,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14929,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Cincinnati,,,,CI,,Cincinnati,3160,310S,Y,OHCIP0000,CINCINNATI,OHCIP0000,City (1-7),City,2,Cincinnati,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,CINCINNATI,0,,2015-03-24T00:00:00+00:00,B,Prosecution Declined,,,2014-10-07T00:00:00+00:00,8,0,2,1,0,,,1
1991-04-30T00:00:00+00:00,14636,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Dayton,,,,CI,,Cincinnati,3160,310S,Y,OH0570200,DAYTON,OH0570200,City (1-7),City,2,Dayton,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,DAYTON,0,,,N,Not Applicable,,,2014-04-21T00:00:00+00:00,14,0,1,1,0,,,1
1991-04-30T00:00:00+00:00,14929,A,City,2,,2014-08-06T14:47:07+00:00,MIG2014_UCR,,Cincinnati,,,,CI,,Cincinnati,3160,310S,Y,OHCIP0000,CINCINNATI,OHCIP0000,City (1-7),City,2,Cincinnati,N,9,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,Ohio Department of Public Safety Office of Criminal Justice Services,www.ocjs.ohio.gov,,,OHUCR0001,3,,East North Central,2,Region II,Midwest,OH,34,39,Ohio,OH,12,,CINCINNATI,0,,,N,Not Applicable,,,2014-03-04T00:00:00+00:00,18,0,1,1,0,,,1
