ori,agency_type_name,EDITED,agency_name [EDIT THIS COLUMN],pub_agency_name,icpsr_name
NJ0142000,City,,Mine Hill Township Police Department,Mine Hill Township,Mine Hill Township Police Department
NJ0142100,City,,Montville Township Police Department,Montville Township,Montville Township Police
NJ0142200,City,,Morris Township Police Department,Morris Township,Morris Township Police
NJ0142300,City,,Morris Plains Police Department,Morris Plains,Morris Plains Borough Police
NJ0142400,City,,Morristown Police Department,Morristown,Morristown Police
NJ0142500,City,,Mountain Lakes Police Department,Mountain Lakes,Mountain Lakes Police
NJ0142600,City,,Mount Arlington Police Department,Mount Arlington,Mount Arlington Police
NJ0142700,City,,Mount Olive Township Police Department,Mount Olive Township,Mount Olive Township Police
NJ0142800,City,,Netcong Police Department,Netcong,Netcong Borough Police
NJ0142900,City,,Parsippany-Troy Hills Township Police Department,Parsippany-Troy Hills Township,Parsippany - Troy Hills Police
NJ0143000,City,,Long Hill Township Police Department,Long Hill Township,Long Hill Police
NJ0143100,City,,Pequannock Township Police Department,Pequannock Township,Pequannock Township Police
NJ0143200,City,,Randolph Township Police Department,Randolph Township,Randolph Township Police
NJ0143300,City,,Riverdale Police Department,Riverdale,Riverdale Police
NJ0143400,City,,Rockaway Police Department,Rockaway,Rockaway Borough Police
NJ0143500,City,,Rockaway Township Police Department,Rockaway Township,Rockaway Township Police
NJ0143600,City,,Roxbury Township Police Department,Roxbury Township,Roxbury Township Police
NJ0143700,City,,Victory Gardens Police Department,Victory Gardens,Victory Gardens PD Dover
NJ0143800,City,,"Washington Township, Morris County Police Department","Washington Township, Morris County",Washington Township Police
NJ0143900,City,,Wharton Police Department,Wharton,Wharton Police
NJ0148900,Other,,Prosecutor: Morris County,Prosecutor: Morris County,Morris County Prosecutor's Office
NJ0149100,Other,,Park Police: Morris County,Park Police: Morris County,Morris County Park Police
NJ014PT00,Other,,Special Part Time Morris County,Special Part Time Morris County,Spt Morris Co
NJ014SP00,State Police,,State Police: Morris County,State Police: Morris County,Sp: Morris County
NJ0150000,County,,Ocean County Sheriff's Department,Ocean,Ocean County Sheriff's Office
NJ0150100,City,,Barnegat Light Police Department,Barnegat Light,Barnegat Light PD
NJ0150200,City,,Bay Head Police Department,Bay Head,Bay Head Police
NJ0150300,City,,Beach Haven Police Department,Beach Haven,Beach Haven Police
NJ0150400,City,,Beachwood Police Department,Beachwood,Beachwood Police
NJ0150500,City,,Berkeley Township Police Department,Berkeley Township,Berkeley Township Police
NJ0150600,City,,Brick Township Police Department,Brick Township,Brick Township Police
NJ0150700,City,,Toms River Township Police Department,Toms River Township,Toms River Police
NJ0150900,City,,Harvey Cedars Police Department,Harvey Cedars,Harvey Cedars Police
NJ0151000,City,,Island Heights Police Department,Island Heights,Island Heights Police
NJ0151100,City,,Jackson Township Police Department,Jackson Township,Jackson Township Police
NJ0151200,City,,Lacey Township Police Department,Lacey Township,Lacey Township Police
NJ0151300,City,,Lakehurst Police Department,Lakehurst,Lakehurst Police
NJ0151400,City,,Lakewood Township Police Department,Lakewood Township,Lakewood Police
NJ0151500,City,,Lavallette Police Department,Lavallette,Lavallette Police
NJ0151600,City,,Little Egg Harbor Township Police Department,Little Egg Harbor Township,Little Egg Harbor Township Police
NJ0151700,City,,Long Beach Township Police Department,Long Beach Township,Long Beach Township Police
NJ0151800,City,,Manchester Township Police Department,Manchester Township,Manchester Township Police
NJ0151900,City,,Mantoloking Police Department,Mantoloking,Mantoloking Police
NJ0152000,City,,"Ocean Township, Ocean County Police Department","Ocean Township, Ocean County",Ocean Township Police
NJ0152100,City,,Ocean Gate Police Department,Ocean Gate,Ocean Gate Borough Police
NJ0152200,City,,Pine Beach Police Department,Pine Beach,Pine Beach Police
NJ0152300,City,,Plumsted Township Police Department,Plumsted Township,Plumsted Township Police
NJ0152400,City,,Point Pleasant Police Department,Point Pleasant,Point Pleasant Borough Police
NJ0152500,City,,Point Pleasant Beach Police Department,Point Pleasant Beach,Point Pleasant Beach Police
NJ0152600,City,,Seaside Heights Police Department,Seaside Heights,Seaside Heights Police
NJ0152700,City,,Seaside Park Police Department,Seaside Park,Seaside Park Police
NJ0152800,City,,Ship Bottom Police Department,Ship Bottom,Ship Bottom Borough Police
NJ0152900,City,,South Toms River Police Department,South Toms River,South Toms River Police
NJ0153000,City,,Stafford Township Police Department,Stafford Township,Stafford Township Police
NJ0153100,City,,Surf City Police Department,Surf City,Surf City Police
NJ0153200,City,,Tuckerton Police Department,Tuckerton,Tuckerton Borough Police
NJ0153300,City,,Barnegat Township Police Department,Barnegat Township,Barnegat Township Police
NJ0158900,Other,,Prosecutor: Ocean County,Prosecutor: Ocean County,Ocean County Prosecutor's Chief
NJ0159100,Other,,Park Police: Ocean County,Park Police: Ocean County,Ocean Cnty Park Police Lakewood
NJ015PT00,Other,,Special Part Time Ocean County,Special Part Time Ocean County,Spt Ocean Co
NJ015SP00,State Police,,State Police: Ocean County,State Police: Ocean County,Sp: Ocean County
NJ0160000,County,,Passaic County Sheriff's Department,Passaic,Passaic County Sheriff's Office
NJ0160100,City,,Bloomingdale Police Department,Bloomingdale,Bloomingdale Police
NJ0160200,City,,Clifton Police Department,Clifton,Clifton Police
NJ0160300,City,,Haledon Police Department,Haledon,Haledon Borough Police
NJ0160400,City,,Hawthorne Police Department,Hawthorne,Hawthorne Police
NJ0160500,City,,Little Falls Township Police Department,Little Falls Township,Little Falls Police
NJ0160600,City,,North Haledon Police Department,North Haledon,North Haledon Police
NJ0160700,City,,Passaic Police Department,Passaic,Passaic Police
NJ0160800,City,,Paterson Police Department,Paterson,Paterson Police
NJ0160900,City,,Pompton Lakes Police Department,Pompton Lakes,Pompton Lakes Police
NJ0161000,City,,Prospect Park Police Department,Prospect Park,Prospect Park Police
NJ0161100,City,,Ringwood Police Department,Ringwood,Ringwood Borough Police
NJ0161200,City,,Totowa Police Department,Totowa,Totowa Police
NJ0161300,City,,Wanaque Police Department,Wanaque,Wanaque Police
NJ0161400,City,,Wayne Township Police Department,Wayne Township,Wayne Township Police
NJ0161500,City,,West Milford Township Police Department,West Milford Township,West Milford Township Police
NJ0161600,City,,Woodland Park Police Department,Woodland Park,Woodland Park Police Dept
NJ0161700,University or College,,William Paterson University,William Paterson University,William Paterson University
NJ0168900,Other,,Prosecutor: Passaic County,Prosecutor: Passaic County,Passaic County Prosecutor's Chief
NJ0169100,Other,,Park Police: Passaic County,Park Police: Passaic County,Passaic Cnty Park Police Paterson
NJ016PT00,Other,,Special Part Time Passaic County,Special Part Time Passaic County,Spt Passaic Co
NJ016SP00,State Police,,State Police: Passaic County,State Police: Passaic County,Sp: Passaic County
NJ0170000,County,,Salem County Sheriff's Department,Salem,Salem County Sheriff's Office
NJ0170200,City,,Elmer Police Department,Elmer,Elmer Borough Police
NJ0170300,City,,Elsinboro Township Police Department,Elsinboro Township,Elsinboro Twp PD Salem
NJ0170400,City,,Lower Alloways Creek Township Police Department,Lower Alloways Creek Township,Lower Alloways Creek Police
NJ0170500,City,,Pennsville Township Police Department,Pennsville Township,Pennsville Police
NJ0170800,City,,Penns Grove Police Department,Penns Grove,Penns Grove Police
NJ0171200,City,,Salem Police Department,Salem,Salem Police
NJ0171300,City,,Carney's Point Township Police Department,Carney's Point Township,Carney's Point Police
NJ0171500,City,,Woodstown Police Department,Woodstown,Woodstown Police
NJ0171600,Unknown,,Pennsville Township,Pennsville Township,Pennsville Twp PD Pennsville
NJ0178900,Other,,Prosecutor: Salem County,Prosecutor: Salem County,Salem County Prosecutor's Chief
NJ017PT00,Other,,Special Part Time Salem County,Special Part Time Salem County,Spt Salem Co
NJ017SP00,State Police,,State Police: Salem County,State Police: Salem County,Sp: Salem County
NJ0180000,County,,Somerset County Sheriff's Department,Somerset,Somerset County Sheriff's Office
NJ0180100,City,,Bedminster Township Police Department,Bedminster Township,Bedminster Police
NJ0180200,City,,Bernards Township Police Department,Bernards Township,Bernards Township Police
NJ0180300,City,,Bernardsville Police Department,Bernardsville,Bernardsville Police Department
NJ0180400,City,,Bound Brook Police Department,Bound Brook,Bound Brook Police
NJ0180500,City,,Branchburg Township Police Department,Branchburg Township,Branchburg Township Police
NJ0180600,City,,Bridgewater Township Police Department,Bridgewater Township,Bridgewater Township Police
NJ0180700,City,,Far Hills Police Department,Far Hills,Far Hills Police
NJ0180800,City,,"Franklin Township, Somerset County Police Department","Franklin Township, Somerset County",Franklin Township Police
NJ0180900,City,,Green Brook Township Police Department,Green Brook Township,Green Brook Police
NJ0181000,City,,Hillsborough Township Police Department,Hillsborough Township,Hillsborough Township Police
NJ0181100,City,,Manville Police Department,Manville,Manville Police
NJ0181300,City,,Montgomery Township Police Department,Montgomery Township,Montgomery Township Police
NJ0181400,City,,North Plainfield Police Department,North Plainfield,North Plainfield Police
NJ0181500,City,,Peapack and Gladstone Police Department,Peapack and Gladstone,Peapack & Gladstone Police
NJ0181600,City,,Raritan Police Department,Raritan,Raritan Borough Police
NJ0181800,City,,Somerville Police Department,Somerville,Somerville Police
NJ0181900,City,,South Bound Brook Police Department,South Bound Brook,South Bound Brook Borough Police
NJ0182000,City,,Warren Township Police Department,Warren Township,Warren Township Police Department
NJ0182100,City,,Watchung Police Department,Watchung,Watchung Police
NJ0188900,Other,,Prosecutor: Somerset County,Prosecutor: Somerset County,Somerset County Prosecutor's Chief
NJ0189100,Other,,Park Police: Somerset County,Park Police: Somerset County,Park Police:Somerset Cty
NJ018PT00,Other,,Special Part Time Somerset County,Special Part Time Somerset County,Spt Somerset Co
NJ018SP00,State Police,,State Police: Somerset County,State Police: Somerset County,Sp: Somerset County
NJ0190000,County,,Sussex County Sheriff's Department,Sussex,Sussex County Sheriff's Office
NJ0190200,City,,Andover Township Police Department,Andover Township,Andover Township Police
NJ0190400,City,,Byram Township Police Department,Byram Township,Byram Township Police
NJ0190600,City,,Franklin Police Department,Franklin,Franklin Borough Police
NJ0190900,City,,Hamburg Police Department,Hamburg,Hamburg Borough Police
NJ0191100,City,,Hardyston Township Police Department,Hardyston Township,Hardyston Township Police
NJ0191200,City,,Hopatcong Police Department,Hopatcong,Hopatcong Borough Police
NJ0191500,City,,Newton Police Department,Newton,Newton Police
NJ0191600,City,,Ogdensburg Police Department,Ogdensburg,Ogdensburg Police
NJ0191800,City,,Sparta Township Police Department,Sparta Township,Sparta Township Police
NJ0191900,City,,Stanhope Police Department,Stanhope,Stanhope Police
NJ0192000,City,,Stillwater Township Police Department,Stillwater Township,Stillwater Township Police
NJ0192100,City,,Sussex Police Department,Sussex,Sussex PD
NJ0192200,City,,Vernon Township Police Department,Vernon Township,Vernon Township Police
NJ0198900,Other,,Prosecutor: Sussex County,Prosecutor: Sussex County,Sussex County Prosecutor's Chief
NJ019PT00,Other,,Special Part Time Sussex County,Special Part Time Sussex County,Spt Sussex Co
NJ019SP00,State Police,,State Police: Sussex County,State Police: Sussex County,Sp: Sussex County
NJ0200000,County,,Union County Sheriff's Department,Union,Union County Sheriff's Office
NJ0200100,City,,Berkeley Heights Township Police Department,Berkeley Heights Township,Berkeley Heights Police
NJ0200200,City,,Clark Township Police Department,Clark Township,Clark Police
NJ0200300,City,,Cranford Township Police Department,Cranford Township,Cranford Police
NJ0200400,City,,Elizabeth Police Department,Elizabeth,Elizabeth Police
NJ0200500,City,,Fanwood Police Department,Fanwood,Fanwood Police
NJ0200600,City,,Garwood Police Department,Garwood,Garwood Police
NJ0200700,City,,Hillside Township Police Department,Hillside Township,Hillside Police
NJ0200800,City,,Kenilworth Police Department,Kenilworth,Kenilworth Borough Police
NJ0200900,City,,Linden Police Department,Linden,Linden Police
NJ0201000,City,,Mountainside Police Department,Mountainside,Mountainside Police
NJ0201100,City,,New Providence Police Department,New Providence,New Providence Police
NJ0201200,City,,Plainfield Police Department,Plainfield,Plainfield Police Department
NJ0201300,City,,Rahway Police Department,Rahway,Rahway Police
NJ0201400,City,,Roselle Police Department,Roselle,Roselle Borough Police
NJ0201500,City,,Roselle Park Police Department,Roselle Park,Roselle Park Borough Police
NJ0201600,City,,Scotch Plains Township Police Department,Scotch Plains Township,Scotch Plains Police
NJ0201700,City,,Springfield Police Department,Springfield,Springfield Police Dept
NJ0201800,City,,Summit Police Department,Summit,Summit Police
NJ0201900,City,,Union Township Police Department,Union Township,Union Police
NJ0202000,City,,Westfield Police Department,Westfield,Westfield Police
NJ0202100,City,,Winfield Township Police Department,Winfield Township,Winfield Police
NJ0202400,University or College,,Kean University,Kean University,Kean University Police
NJ0208900,Other,,Prosecutor: Union County,Prosecutor: Union County,Union County Prosecutor's Chief
NJ0209100,Other,,Park Police: Union County,Park Police: Union County,Union County Police
NJ0209200,Other State Agency,,New Jersey Division of Alcoholic Beverage Control,New Jersey Division of Alcoholic Beverage Control,Nj Div Of Alcoholic Bev Control Hdqtrs Cranford
NJ020PT00,Other,,Special Part Time Union County,Special Part Time Union County,Spt Union Co
NJ020SP00,State Police,,State Police: Union County,State Police: Union County,Sp: Union County
NJ0210000,County,,Warren County Sheriff's Department,Warren,Warren County Sheriff's Office
NJ0210100,City,,Allamuchy Township Police Department,Allamuchy Township,Allamuchy Twp PD Allamuchy
NJ0210200,City,,Alpha Police Department,Alpha,Alpha Boro PD
NJ0210300,City,,Belvidere Police Department,Belvidere,Belvidere Police
NJ0210400,City,,Blairstown Township Police Department,Blairstown Township,Blairstown Township Police
NJ0210700,City,,"Greenwich Township, Warren County Police Department","Greenwich Township, Warren County",Greenwich Township Police
NJ0210800,City,,Hackettstown Police Department,Hackettstown,Hackettstown Police
NJ0211200,City,,Independence Township Police Department,Independence Township,Independnece Township Police
NJ0211300,City,,Knowlton Township Police Department,Knowlton Township,Knowlton Twp PD Columbia
NJ0211500,City,,Lopatcong Township Police Department,Lopatcong Township,Lopatcong Township Police
NJ0211600,City,,"Mansfield Township, Warren County Police Department","Mansfield Township, Warren County",Mansfield Township Police
NJ0211700,City,,Oxford Township Police Department,Oxford Township,Oxford Township Police
NJ0211900,City,,Phillipsburg Police Department,Phillipsburg,Phillipsburg Police
NJ0212000,City,,Pohatcong Township Police Department,Pohatcong Township,Pohatcong Township Police
NJ0212100,City,,Washington Police Department,Washington,Washington Borough Police
NJ0212200,City,,"Washington Township, Warren County Police Department","Washington Township, Warren County",Washington Township Police
NJ0218900,Other,,Prosecutor: Warren County,Prosecutor: Warren County,Warren County Prosecutor's Office
